Status,Week #,Date (Sat),Special Note
success,Term 1 Begins,,
danger,1,9-Sep-17,First Day of School
,2,16-Sep-17,
info,,23-Sep-17,Holiday - Long Weekend
,3,30-Sep-17,Parent-Teacher Group Meeting
,4,7-Oct-17,Test #1
,5,14-Oct-17,
,6,21-Oct-17,Deepavali Celebration
,7,28-Oct-17,
,8,4-Nov-17,Test #2
info,,11-Nov-17,Holiday - Veterans Day
,9,18-Nov-17,
info,,25-Nov-17,Holiday - Thanksgiving
,10,2-Dec-17,
,11,9-Dec-17,
,12,16-Dec-17,Test #3 
success,Term 1 Ends & Term 2 Begins,,
,,17-Dec-17,Student Oratory Contests
info,,23-Dec-17,Holiday - Christmas
info,,30-Dec-17,Holiday - New Year
,13,6-Jan-18,
info,,13-Jan-18,Holiday - Pongal/MLK Day
,14,20-Jan-18,Pongal Celebration
,15,27-Jan-18,Test #4
,16,3-Feb-18,
,17,10-Feb-18,
info,,17-Feb-18,Holiday - Presidents Day
,18,24-Feb-18,Test #5
,19,3-Mar-18,
,20,10-Mar-18,
success,Term 2 Ends & Term 3 Begins,,
,21,17-Mar-18,
,22,24-Mar-18,Test #6
info,,31-Mar-18,Holiday - Spring Recess
info,,7-Apr-18,Holiday - Spring Recess
,23,14-Apr-18,
,24,21-Apr-18,
danger,,28-Apr-18,Cancelled
info,25,29-Apr-18,Make up for 28-Apr
,26,5-May-18,Test #7
info,,12-May-18, Annual Day
,27,19-May-18,
info,,26-May-18,NJ's All Tamil School Picnic
,28,2-Jun-18,
,29,9-Jun-18,Test #8 - Final Test
danger,30,16-Jun-18,Last Day of School / Graducation Day
success,Term 3 Ends ,,
,,26-May-18,NJ's All Tamil School Picnic
,,Jan,Parent-Teacher Conf Month
