CssStyle,Week #,Date (Sun),Special Note
success,Term 1 Begins,,
danger,1,17-Sep-17,First Day of School
,2,24-Sep-17,
,3,1-Oct-17,Parent-Teacher Group Meeting
,4,8-Oct-17,Test #1
,5,15-Oct-17,
,6,22-Oct-17,Deepavali Celebration
,7,29-Oct-17,
,8,5-Nov-17,Test #2
info,,12-Nov-17,Holiday - Veterans Day
,9,19-Nov-17,
info,,26-Nov-17,Holiday - Thanksgiving
,10,3-Dec-17,
,11,10-Dec-17,
,12,17-Dec-17,Test #3 
success,Term 1 Ends & Term 2 Begins,,
info,,24-Dec-17,Holiday - Christmas
info,,31-Dec-17,Holiday - New Year
,13,7-Jan-18,
info,,14-Jan-18,Holiday - Pongal/MLK Day
,14,21-Jan-18,Pongal Celebration
,15,28-Jan-18,Test #4
,16,4-Feb-18,
,17,11-Feb-18,
,,18-Feb-18,Holiday - Presidents Day
,18,25-Feb-18,Test #5
,19,4-Mar-18,
,20,11-Mar-18,
success,Term 2 Ends & Term 3 Begins,,
,21,18-Mar-18,
,22,25-Mar-18,Test #6
info,,1-Apr-18,Holiday - Spring Recess
info,,8-Apr-18,Holiday - Spring Recess
,23,15-Apr-18,
,24,22-Apr-18,
,25,29-Apr-18,Annual Day - Tentative
,26,6-May-18,Test #7
,27,13-May-18,
,28,20-May-18,
info,,27-May-18,Holiday - Memorial Day
,29,3-Jun-18,
,30,10-Jun-18,Test #8 - Final Test
danger,31,17-Jun-18,Last Day of School
success,Term 3 Ends ,,
,,23-Jun-18,Annual Picnic
,,Jan,Parent-Teacher Conf Month
